Car,Manufacturer,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model-Year,Origin
chevelle malibu,chevrolet,18,8,307,130,3504,12,70,American
skylark 320,buick,15,8,350,165,3693,11.5,70,American
satellite,plymouth,18,8,318,150,3436,11,70,American
rebel sst,amc,16,8,304,150,3433,12,70,American
torino,ford,17,8,302,140,3449,10.5,70,American
galaxie 500,ford,15,8,429,198,4341,10,70,American
impala,chevrolet,14,8,454,220,4354,9,70,American
fury iii,plymouth,14,8,440,215,4312,8.5,70,American
catalina,pontiac,14,8,455,225,4425,10,70,American
ambassador dpl,amc,15,8,390,190,3850,8.5,70,American
ds-21 pallas,citroen,NA,4,133,115,3090,17.5,70,European
chevelle concours (sw),chevrolet,NA,8,350,165,4142,11.5,70,American
torino (sw),ford,NA,8,351,153,4034,11,70,American
satellite (sw),plymouth,NA,8,383,175,4166,10.5,70,American
rebel sst (sw),amc,NA,8,360,175,3850,11,70,American
challenger se,dodge,15,8,383,170,3563,10,70,American
'cuda 340,plymouth,14,8,340,160,3609,8,70,American
mustang boss 302,ford,NA,8,302,140,3353,8,70,American
monte carlo,chevrolet,15,8,400,150,3761,9.5,70,American
estate wagon (sw),buick,14,8,455,225,3086,10,70,American
corona mark ii,toyota,24,4,113,95,2372,15,70,Japanese
duster,plymouth,22,6,198,95,2833,15.5,70,American
hornet,amc,18,6,199,97,2774,15.5,70,American
maverick,ford,21,6,200,85,2587,16,70,American
pl510,datsun,27,4,97,88,2130,14.5,70,Japanese
1131 deluxe sedan,vw,26,4,97,46,1835,20.5,70,European
504,peugeot,25,4,110,87,2672,17.5,70,European
100 ls,audi,24,4,107,90,2430,14.5,70,European
99e,saab,25,4,104,95,2375,17.5,70,European
2002,bmw,26,4,121,113,2234,12.5,70,European
gremlin,amc,21,6,199,90,2648,15,70,American
f250,ford,10,8,360,215,4615,14,70,American
c20,chevrolet,10,8,307,200,4376,15,70,American
d200,dodge,11,8,318,210,4382,13.5,70,American
1200d,hi,9,8,304,193,4732,18.5,70,American
pl510,datsun,27,4,97,88,2130,14.5,71,Japanese
vega 2300,chevrolet,28,4,140,90,2264,15.5,71,American
corona,toyota,25,4,113,95,2228,14,71,Japanese
pinto,ford,25,4,98,NA,2046,19,71,American
super beetle 117,vw,NA,4,97,48,1978,20,71,European
gremlin,amc,19,6,232,100,2634,13,71,American
satellite custom,plymouth,16,6,225,105,3439,15.5,71,American
chevelle malibu,chevrolet,17,6,250,100,3329,15.5,71,American
torino 500,ford,19,6,250,88,3302,15.5,71,American
matador,amc,18,6,232,100,3288,15.5,71,American
impala,chevrolet,14,8,350,165,4209,12,71,American
catalina brougham,pontiac,14,8,400,175,4464,11.5,71,American
galaxie 500,ford,14,8,351,153,4154,13.5,71,American
fury iii,plymouth,14,8,318,150,4096,13,71,American
monaco (sw),dodge,12,8,383,180,4955,11.5,71,American
country squire (sw),ford,13,8,400,170,4746,12,71,American
safari (sw),pontiac,13,8,400,175,5140,12,71,American
hornet sportabout (sw),amc,18,6,258,110,2962,13.5,71,American
vega (sw),chevrolet,22,4,140,72,2408,19,71,American
firebird,pontiac,19,6,250,100,3282,15,71,American
mustang,ford,18,6,250,88,3139,14.5,71,American
capri 2000,mercury,23,4,122,86,2220,14,71,American
opel 1900,buick,28,4,116,90,2123,14,71,European
304,peugeot,30,4,79,70,2074,19.5,71,European
124b,fiat,30,4,88,76,2065,14.5,71,European
corolla 1200,toyota,31,4,71,65,1773,19,71,Japanese
1200,datsun,35,4,72,69,1613,18,71,Japanese
model 111,vw,27,4,97,60,1834,19,71,European
cricket,plymouth,26,4,91,70,1955,20.5,71,American
corona hardtop,toyota,24,4,113,95,2278,15.5,72,Japanese
colt hardtop,dodge,25,4,97.5,80,2126,17,72,American
type 3,vw,23,4,97,54,2254,23.5,72,European
vega,chevrolet,20,4,140,90,2408,19.5,72,American
pinto runabout,ford,21,4,122,86,2226,16.5,72,American
impala,chevrolet,13,8,350,165,4274,12,72,American
catalina,pontiac,14,8,400,175,4385,12,72,American
fury iii,plymouth,15,8,318,150,4135,13.5,72,American
galaxie 500,ford,14,8,351,153,4129,13,72,American
ambassador sst,amc,17,8,304,150,3672,11.5,72,American
marquis,mercury,11,8,429,208,4633,11,72,American